battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Delhi Capitals,1254059,AS Raut,77.77777777777779
Chennai Super Kings,Delhi Capitals,1254059,AT Rayudu,175.0
Chennai Super Kings,Delhi Capitals,1254059,F du Plessis,0.0
Chennai Super Kings,Delhi Capitals,1254059,MM Ali,150.0
Chennai Super Kings,Delhi Capitals,1254059,MS Dhoni,0.0
Chennai Super Kings,Delhi Capitals,1254059,RA Jadeja,158.8235294117647
Chennai Super Kings,Delhi Capitals,1254059,SM Curran,218.75
Chennai Super Kings,Delhi Capitals,1254059,Suresh Raina,152.77777777777777
Chennai Super Kings,Kolkata Knight Riders,1254072,AS Raut,165.0
Chennai Super Kings,Kolkata Knight Riders,1254072,F du Plessis,162.29508196721312
Chennai Super Kings,Kolkata Knight Riders,1254072,MM Ali,230.76923076923075
Chennai Super Kings,Kolkata Knight Riders,1254072,MS Dhoni,211.11111111111111
Chennai Super Kings,Kolkata Knight Riders,1254072,RA Jadeja,600.0
Chennai Super Kings,Kolkata Knight Riders,1254098,AS Raut,142.85714285714286
Chennai Super Kings,Kolkata Knight Riders,1254098,AT Rayudu,110.00000000000001
Chennai Super Kings,Kolkata Knight Riders,1254098,DL Chahar,100.0
Chennai Super Kings,Kolkata Knight Riders,1254098,F du Plessis,146.66666666666666
Chennai Super Kings,Kolkata Knight Riders,1254098,MM Ali,113.79310344827587
Chennai Super Kings,Kolkata Knight Riders,1254098,MS Dhoni,50.0
Chennai Super Kings,Kolkata Knight Riders,1254098,RA Jadeja,275.0
Chennai Super Kings,Kolkata Knight Riders,1254098,SM Curran,100.0
Chennai Super Kings,Kolkata Knight Riders,1254098,SN Thakur,150.0
Chennai Super Kings,Kolkata Knight Riders,1254098,Suresh Raina,171.42857142857142
Chennai Super Kings,Mumbai Indians,1254084,AS Raut,100.0
Chennai Super Kings,Mumbai Indians,1254084,AT Rayudu,284.61538461538464
Chennai Super Kings,Mumbai Indians,1254084,F du Plessis,178.57142857142858
Chennai Super Kings,Mumbai Indians,1254084,MM Ali,166.66666666666669
Chennai Super Kings,Mumbai Indians,1254084,RA Jadeja,112.00000000000001
Chennai Super Kings,Mumbai Indians,1254084,Suresh Raina,50.0
Chennai Super Kings,Mumbai Indians,1254104,AS Raut,155.17241379310346
Chennai Super Kings,Mumbai Indians,1254104,AT Rayudu,33.33333333333333
Chennai Super Kings,Mumbai Indians,1254104,DJ Bravo,266.66666666666663
Chennai Super Kings,Mumbai Indians,1254104,F du Plessis,0.0
Chennai Super Kings,Mumbai Indians,1254104,MM Ali,0.0
Chennai Super Kings,Mumbai Indians,1254104,MS Dhoni,60.0
Chennai Super Kings,Mumbai Indians,1254104,RA Jadeja,91.66666666666666
Chennai Super Kings,Mumbai Indians,1254104,SN Thakur,100.0
Chennai Super Kings,Mumbai Indians,1254104,Suresh Raina,66.66666666666666
Chennai Super Kings,Punjab Kings,1254065,AS Raut,31.25
Chennai Super Kings,Punjab Kings,1254065,AT Rayudu,0.0
Chennai Super Kings,Punjab Kings,1254065,F du Plessis,124.24242424242425
Chennai Super Kings,Punjab Kings,1254065,MM Ali,146.875
Chennai Super Kings,Punjab Kings,1254065,SM Curran,125.0
Chennai Super Kings,Punjab Kings,1254065,Suresh Raina,90.0
Chennai Super Kings,Rajasthan Royals,1254069,AS Raut,76.92307692307693
Chennai Super Kings,Rajasthan Royals,1254069,AT Rayudu,170.58823529411765
Chennai Super Kings,Rajasthan Royals,1254069,DJ Bravo,275.0
Chennai Super Kings,Rajasthan Royals,1254069,F du Plessis,194.11764705882354
Chennai Super Kings,Rajasthan Royals,1254069,MM Ali,152.38095238095238
Chennai Super Kings,Rajasthan Royals,1254069,MS Dhoni,105.88235294117648
Chennai Super Kings,Rajasthan Royals,1254069,RA Jadeja,128.57142857142858
Chennai Super Kings,Rajasthan Royals,1254069,SM Curran,216.66666666666666
Chennai Super Kings,Rajasthan Royals,1254069,SN Thakur,200.0
Chennai Super Kings,Rajasthan Royals,1254069,Suresh Raina,117.64705882352942
Chennai Super Kings,Rajasthan Royals,1254089,AS Raut,168.85245901639345
Chennai Super Kings,Rajasthan Royals,1254089,AT Rayudu,50.0
Chennai Super Kings,Rajasthan Royals,1254089,F du Plessis,131.57894736842107
Chennai Super Kings,Rajasthan Royals,1254089,MM Ali,122.22222222222223
Chennai Super Kings,Rajasthan Royals,1254089,RA Jadeja,226.66666666666666
Chennai Super Kings,Rajasthan Royals,1254089,Suresh Raina,60.0
Chennai Super Kings,Royal Challengers Bangalore,1254076,AS Raut,134.6153846153846
Chennai Super Kings,Royal Challengers Bangalore,1254076,AT Rayudu,200.0
Chennai Super Kings,Royal Challengers Bangalore,1254076,F du Plessis,121.42857142857142
Chennai Super Kings,Royal Challengers Bangalore,1254076,MS Dhoni,66.66666666666666
Chennai Super Kings,Royal Challengers Bangalore,1254076,RA Jadeja,228.57142857142856
Chennai Super Kings,Royal Challengers Bangalore,1254076,Suresh Raina,138.88888888888889
Chennai Super Kings,Royal Challengers Bangalore,1254113,AS Raut,150.0
Chennai Super Kings,Royal Challengers Bangalore,1254113,AT Rayudu,150.0
Chennai Super Kings,Royal Challengers Bangalore,1254113,F du Plessis,123.07692307692308
Chennai Super Kings,Royal Challengers Bangalore,1254113,MM Ali,126.3157894736842
Chennai Super Kings,Royal Challengers Bangalore,1254113,MS Dhoni,122.22222222222223
Chennai Super Kings,Royal Challengers Bangalore,1254113,Suresh Raina,163.63636363636365
Chennai Super Kings,Sunrisers Hyderabad,1254080,AS Raut,168.88888888888889
Chennai Super Kings,Sunrisers Hyderabad,1254080,F du Plessis,147.36842105263156
Chennai Super Kings,Sunrisers Hyderabad,1254080,MM Ali,177.77777777777777
Chennai Super Kings,Sunrisers Hyderabad,1254080,RA Jadeja,133.33333333333331
Chennai Super Kings,Sunrisers Hyderabad,1254080,Suresh Raina,113.33333333333333
Chennai Super Kings,Sunrisers Hyderabad,1254091,AS Raut,121.05263157894737
Chennai Super Kings,Sunrisers Hyderabad,1254091,AT Rayudu,130.76923076923077
Chennai Super Kings,Sunrisers Hyderabad,1254091,F du Plessis,113.88888888888889
Chennai Super Kings,Sunrisers Hyderabad,1254091,MM Ali,100.0
Chennai Super Kings,Sunrisers Hyderabad,1254091,MS Dhoni,125.0
Chennai Super Kings,Sunrisers Hyderabad,1254091,Suresh Raina,75.0
Delhi Capitals,Chennai Super Kings,1254059,MP Stoinis,166.66666666666669
Delhi Capitals,Chennai Super Kings,1254059,PP Shaw,189.4736842105263
Delhi Capitals,Chennai Super Kings,1254059,RR Pant,123.07692307692308
Delhi Capitals,Chennai Super Kings,1254059,S Dhawan,161.11111111111111
Delhi Capitals,Kolkata Knight Riders,1254082,MP Stoinis,200.0
Delhi Capitals,Kolkata Knight Riders,1254082,PP Shaw,204.76190476190476
Delhi Capitals,Kolkata Knight Riders,1254082,RR Pant,200.0
Delhi Capitals,Kolkata Knight Riders,1254082,S Dhawan,100.0
Delhi Capitals,Kolkata Knight Riders,1254082,SO Hetmyer,0.0
Delhi Capitals,Kolkata Knight Riders,1254092,AR Patel,33.33333333333333
Delhi Capitals,Kolkata Knight Riders,1254092,Avesh Khan,166.66666666666669
Delhi Capitals,Kolkata Knight Riders,1254092,K Rabada,0.0
Delhi Capitals,Kolkata Knight Riders,1254092,L Yadav,0.0
Delhi Capitals,Kolkata Knight Riders,1254092,R Ashwin,125.0
Delhi Capitals,Kolkata Knight Riders,1254092,RR Pant,110.8108108108108
Delhi Capitals,Kolkata Knight Riders,1254092,S Dhawan,120.0
Delhi Capitals,Kolkata Knight Riders,1254092,SO Hetmyer,80.0
Delhi Capitals,Kolkata Knight Riders,1254092,SPD Smith,114.70588235294117
Delhi Capitals,Kolkata Knight Riders,1254092,SS Iyer,33.33333333333333
Delhi Capitals,Mumbai Indians,1254070,L Yadav,100.0
Delhi Capitals,Mumbai Indians,1254070,PP Shaw,140.0
Delhi Capitals,Mumbai Indians,1254070,RR Pant,88.88888888888889
Delhi Capitals,Mumbai Indians,1254070,S Dhawan,111.90476190476191
Delhi Capitals,Mumbai Indians,1254070,SO Hetmyer,187.5
Delhi Capitals,Mumbai Indians,1254070,SPD Smith,120.6896551724138
Delhi Capitals,Mumbai Indians,1254112,AR Patel,100.0
Delhi Capitals,Mumbai Indians,1254112,PP Shaw,85.71428571428571
Delhi Capitals,Mumbai Indians,1254112,R Ashwin,95.23809523809523
Delhi Capitals,Mumbai Indians,1254112,RR Pant,122.72727272727273
Delhi Capitals,Mumbai Indians,1254112,S Dhawan,114.28571428571428
Delhi Capitals,Mumbai Indians,1254112,SO Hetmyer,187.5
Delhi Capitals,Mumbai Indians,1254112,SPD Smith,112.5
Delhi Capitals,Mumbai Indians,1254112,SS Iyer,105.71428571428572
Delhi Capitals,Punjab Kings,1254068,L Yadav,216.66666666666666
Delhi Capitals,Punjab Kings,1254068,MP Stoinis,233.33333333333334
Delhi Capitals,Punjab Kings,1254068,PP Shaw,188.23529411764704
Delhi Capitals,Punjab Kings,1254068,RR Pant,106.25
Delhi Capitals,Punjab Kings,1254068,S Dhawan,200.0
Delhi Capitals,Punjab Kings,1254068,SPD Smith,83.33333333333334
Delhi Capitals,Punjab Kings,1254086,PP Shaw,177.27272727272728
Delhi Capitals,Punjab Kings,1254086,RR Pant,127.27272727272727
Delhi Capitals,Punjab Kings,1254086,S Dhawan,151.06382978723406
Delhi Capitals,Punjab Kings,1254086,SO Hetmyer,450.0
Delhi Capitals,Punjab Kings,1254086,SPD Smith,113.63636363636364
Delhi Capitals,Rajasthan Royals,1254064,AM Rahane,111.11111111111111
Delhi Capitals,Rajasthan Royals,1254064,Chris Woakes,136.36363636363635
Delhi Capitals,Rajasthan Royals,1254064,K Rabada,225.0
Delhi Capitals,Rajasthan Royals,1254064,L Yadav,84.0
Delhi Capitals,Rajasthan Royals,1254064,MP Stoinis,0.0
Delhi Capitals,Rajasthan Royals,1254064,PP Shaw,40.0
Delhi Capitals,Rajasthan Royals,1254064,R Ashwin,200.0
Delhi Capitals,Rajasthan Royals,1254064,RR Pant,162.5
Delhi Capitals,Rajasthan Royals,1254064,S Dhawan,81.81818181818183
Delhi Capitals,Rajasthan Royals,1254064,TK Curran,131.25
Delhi Capitals,Rajasthan Royals,1254097,AR Patel,187.5
Delhi Capitals,Rajasthan Royals,1254097,L Yadav,100.0
Delhi Capitals,Rajasthan Royals,1254097,PP Shaw,83.33333333333334
Delhi Capitals,Rajasthan Royals,1254097,R Ashwin,133.33333333333331
Delhi Capitals,Rajasthan Royals,1254097,RR Pant,100.0
Delhi Capitals,Rajasthan Royals,1254097,S Dhawan,100.0
Delhi Capitals,Rajasthan Royals,1254097,SO Hetmyer,170.58823529411765
Delhi Capitals,Rajasthan Royals,1254097,SS Iyer,140.625
Delhi Capitals,Royal Challengers Bangalore,1254079,MP Stoinis,129.41176470588235
